transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantiy,price_per_unit,cogs,total_sale
695,03/04/2022,22:12:00,52,Female,22,Electronics,3,50,21,150
836,21/06/2023,06:32:00,2,Female,22,Clothing,1,50,27.5,50
880,26/09/2023,20:13:00,63,Male,22,Beauty,2,500,175,1000
881,21/12/2023,20:52:00,4,Male,22,Electronics,1,300,99,300
919,28/10/2023,21:13:00,82,Female,22,Beauty,2,25,27.75,50
926,06/10/2023,22:53:00,53,Male,22,Electronics,1,30,15.6,30
933,19/09/2022,07:53:00,81,Male,22,Beauty,1,30,12.9,30
965,27/11/2022,21:45:00,84,Male,22,Clothing,4,50,13,200
1013,16/07/2022,19:38:00,111,Male,22,Electronics,3,500,200,1500
1020,22/11/2022,18:30:00,86,Male,22,Clothing,3,300,300,900
1042,11/02/2022,06:21:00,7,Male,22,Clothing,3,300,150,900
1044,20/02/2022,09:08:00,70,Female,22,Clothing,1,25,7.5,25
1076,14/07/2023,11:09:00,99,Female,22,Electronics,2,50,15,100
1105,12/11/2022,19:09:00,19,Female,22,Electronics,1,500,270,500
1114,18/08/2022,22:19:00,100,Female,22,Beauty,4,25,12,100
1141,17/09/2023,19:13:00,65,Female,22,Electronics,1,50,58,50
1149,14/09/2023,19:23:00,98,Male,22,Clothing,3,25,29.75,75
1273,20/06/2023,20:39:00,1,Female,22,Beauty,1,50,25.5,50
1296,26/11/2022,20:42:00,45,Female,22,Clothing,4,300,342,1200
1317,25/08/2022,08:02:00,144,Male,22,Electronics,3,30,12,90
1339,10/11/2022,10:34:00,132,Female,22,Electronics,2,25,7.5,50
1393,08/10/2022,17:24:00,56,Female,22,Beauty,2,500,580,1000
1406,22/06/2023,08:45:00,2,Female,22,Beauty,4,25,10,100
1420,15/04/2022,07:01:00,138,Female,22,Clothing,4,500,205,2000
1447,30/05/2022,22:21:00,137,Male,22,Beauty,4,500,155,2000
1597,28/08/2023,18:21:00,32,Male,22,Beauty,4,300,78,1200
1606,19/10/2023,19:52:00,2,Male,22,Electronics,1,50,26.5,50
1695,21/09/2023,20:51:00,85,Female,22,Electronics,3,50,23,150
1836,13/02/2023,17:19:00,3,Female,22,Clothing,1,50,23.5,50
1880,14/06/2023,20:03:00,37,Male,22,Beauty,2,500,175,1000
1881,11/07/2023,17:23:00,5,Male,22,Electronics,1,300,147,300
1919,25/10/2022,17:54:00,78,Female,22,Beauty,2,25,26.5,50
1926,07/08/2023,20:22:00,74,Male,22,Electronics,1,30,9.6,30
1933,12/01/2022,11:04:00,121,Male,22,Beauty,1,30,14.4,30
1965,12/12/2022,20:03:00,93,Male,22,Clothing,4,50,21.5,200
11,27/02/2022,10:30:00,151,Male,23,Clothing,2,50,23.5,100
39,11/07/2023,22:44:00,5,Male,23,Clothing,4,30,8.7,120
116,22/06/2023,20:04:00,58,Female,23,Clothing,1,30,15,30
147,12/11/2022,20:30:00,101,Male,23,Electronics,1,300,297,300
231,09/07/2022,07:02:00,50,Female,23,Clothing,3,50,26.5,150
235,10/03/2022,10:13:00,132,Female,23,Electronics,2,500,275,1000
240,05/11/2022,11:49:00,95,Female,23,Beauty,1,300,123,300
241,19/12/2023,20:21:00,108,Female,23,Electronics,3,25,26.75,75
256,09/01/2022,08:05:00,3,Male,23,Clothing,2,500,270,1000
263,04/05/2022,21:48:00,133,Male,23,Beauty,2,30,34.8,60
274,14/04/2023,07:12:00,4,Female,23,Clothing,2,500,150,1000
294,09/10/2023,09:24:00,89,Female,23,Clothing,3,30,15.3,90
369,13/12/2023,19:42:00,111,Male,23,Electronics,3,500,215,1500
370,24/10/2023,21:04:00,61,Male,23,Electronics,2,30,34.8,60
426,13/12/2023,08:11:00,137,Male,23,Electronics,3,50,12.5,150
496,12/12/2022,13:07:00,91,Male,23,Clothing,2,300,141,600
644,13/10/2022,21:49:00,107,Male,23,Beauty,3,25,29,75
663,16/08/2023,06:32:00,133,Male,23,Clothing,4,300,87,1200
747,21/10/2022,18:12:00,51,Male,23,Beauty,1,30,9.3,30
858,08/09/2023,18:48:00,85,Male,23,Electronics,2,50,50.5,100
879,13/11/2022,16:51:00,50,Male,23,Clothing,1,30,15.3,30
929,11/03/2022,10:18:00,40,Female,23,Beauty,3,25,10.5,75
948,10/12/2023,22:06:00,52,Female,23,Electronics,3,25,28.75,75
998,21/10/2023,17:32:00,61,Female,23,Beauty,4,25,30.5,100
1011,01/04/2022,06:48:00,15,Male,23,Clothing,2,50,19,100
1039,03/12/2023,20:01:00,1,Male,23,Clothing,4,30,13.8,120
1116,15/08/2022,22:26:00,145,Female,23,Clothing,1,30,12.3,30
1147,25/11/2023,22:14:00,35,Male,23,Electronics,1,300,330,300
1231,29/01/2022,07:05:00,12,Female,23,Clothing,3,50,23,150
1235,04/04/2022,06:44:00,87,Female,23,Electronics,2,500,220,1000
1240,07/08/2022,07:42:00,144,Female,23,Beauty,1,300,90,300
1241,10/09/2023,17:28:00,26,Female,23,Electronics,3,25,24.5,75
1256,05/11/2022,09:58:00,29,Male,23,Clothing,2,500,190,1000
1263,07/09/2022,20:49:00,47,Male,23,Beauty,2,30,35.4,60
1274,06/10/2023,09:01:00,2,Female,23,Clothing,2,500,185,1000
1294,24/01/2023,11:24:00,8,Female,23,Clothing,3,30,10.5,90
1369,10/10/2022,21:14:00,64,Male,23,Electronics,3,500,180,1500
1370,04/11/2022,22:51:00,90,Male,23,Electronics,2,30,36,60
1426,12/12/2023,11:32:00,114,Male,23,Electronics,3,50,25,150
1496,03/09/2022,15:05:00,110,Male,23,Clothing,2,300,120,600
1644,11/09/2022,19:32:00,124,Male,23,Beauty,3,25,28.75,75
1663,07/12/2023,07:04:00,33,Male,23,Clothing,4,300,81,1200
1747,05/09/2023,18:22:00,87,Male,23,Beauty,1,30,16.2,30
1858,14/09/2023,20:47:00,49,Male,23,Electronics,2,50,52,100
1879,18/11/2022,15:27:00,66,Male,23,Clothing,1,30,16.2,30
1929,15/09/2022,06:50:00,62,Female,23,Beauty,3,25,12.75,75
1948,17/09/2023,21:09:00,100,Female,23,Electronics,3,25,24.5,75
1998,20/10/2023,19:53:00,90,Female,23,Beauty,4,25,24,100
185,27/06/2022,09:48:00,57,Male,24,Clothing,1,25,7,25
372,19/06/2022,11:45:00,27,Female,24,Beauty,3,500,140,1500
485,08/11/2022,17:30:00,101,Male,24,Electronics,1,30,11.4,30
495,24/06/2022,21:06:00,131,Male,24,Beauty,2,30,11.7,60
505,17/12/2022,07:25:00,86,Male,24,Beauty,1,50,19.5,50
513,21/10/2022,18:31:00,85,Male,24,Electronics,4,25,24.5,100
553,20/03/2023,06:17:00,106,Male,24,Clothing,4,300,81,1200
583,28/01/2022,19:44:00,131,Female,24,Electronics,4,25,7.75,100
585,06/06/2023,21:49:00,3,Female,24,Clothing,1,25,13.75,25
669,23/01/2022,20:24:00,110,Male,24,Beauty,4,300,87,1200
762,27/11/2023,17:49:00,56,Female,24,Electronics,2,25,10.25,50
768,27/06/2022,06:50:00,58,Female,24,Beauty,3,25,10.5,75
771,24/12/2023,12:23:00,70,Male,24,Electronics,2,25,11.75,50
866,06/07/2023,18:16:00,4,Male,24,Electronics,1,50,22.5,50
964,26/08/2022,08:18:00,15,Male,24,Clothing,3,300,156,900
1185,04/10/2022,10:28:00,153,Male,24,Clothing,1,25,10.25,25
1372,18/03/2022,10:53:00,60,Female,24,Beauty,3,500,145,1500
1485,24/09/2022,18:29:00,66,Male,24,Electronics,1,30,15.6,30
1495,14/03/2023,22:37:00,113,Male,24,Beauty,2,30,16.2,60
1505,30/10/2022,08:00:00,98,Male,24,Beauty,1,50,14.5,50
1513,01/10/2022,21:47:00,19,Male,24,Electronics,4,25,31,100
1553,29/01/2023,08:46:00,42,Male,24,Clothing,4,300,99,1200
1583,12/11/2023,22:54:00,102,Female,24,Electronics,4,25,13,100
1585,05/10/2023,20:00:00,2,Female,24,Clothing,1,25,7.25,25
1669,04/08/2022,22:28:00,83,Male,24,Beauty,4,300,123,1200
1762,15/11/2023,18:43:00,81,Female,24,Electronics,2,25,11,50
1768,31/07/2022,09:52:00,85,Female,24,Beauty,3,25,8.75,75
1771,13/09/2023,13:41:00,108,Male,24,Electronics,2,25,10.75,50
1866,17/08/2023,22:38:00,5,Male,24,Electronics,1,50,20,50
1964,02/08/2022,08:27:00,115,Male,24,Clothing,3,300,111,900
68,15/12/2022,09:06:00,146,Male,25,Electronics,1,300,84,300
128,21/12/2022,22:22:00,77,Male,25,Beauty,1,500,180,500
170,21/09/2023,20:46:00,125,Female,25,Clothing,2,25,12.5,50
224,11/11/2022,21:32:00,99,Female,25,Clothing,1,50,24,50
269,19/09/2022,11:31:00,87,Male,25,Clothing,4,500,250,2000
330,11/10/2022,20:18:00,116,Female,25,Beauty,4,50,55,200
350,20/11/2022,17:41:00,61,Male,25,Beauty,3,25,28.5,75
373,23/09/2022,22:19:00,78,Female,25,Beauty,2,300,333,600
405,17/10/2022,17:55:00,79,Female,25,Clothing,4,300,324,1200
427,16/11/2023,21:26:00,120,Male,25,Electronics,1,25,11.75,25
449,03/01/2022,18:28:00,58,Male,25,Electronics,4,50,26.5,200
539,30/11/2023,18:13:00,135,Male,25,Beauty,1,500,205,500
555,14/12/2022,19:35:00,103,Male,25,Beauty,1,300,360,300
560,23/10/2023,22:51:00,7,Female,25,Electronics,1,50,19,50
567,08/05/2023,19:53:00,5,Female,25,Clothing,3,300,144,900
740,01/12/2022,06:58:00,33,Female,25,Beauty,4,50,13,200
748,01/03/2023,09:35:00,132,Male,25,Clothing,3,50,24,150
773,14/01/2023,19:10:00,3,Male,25,Electronics,4,500,175,2000
868,04/12/2023,13:39:00,110,Female,25,Electronics,1,300,111,300
925,20/12/2022,17:12:00,54,Male,25,Electronics,1,300,315,300
1068,14/09/2022,10:11:00,136,Male,25,Electronics,1,300,111,300
1128,04/01/2022,17:35:00,60,Male,25,Beauty,1,500,135,500
1170,06/01/2023,17:13:00,96,Female,25,Clothing,2,25,8,50
1224,20/01/2022,17:10:00,103,Female,25,Clothing,1,50,20,50
1269,01/01/2022,08:09:00,71,Male,25,Clothing,4,500,145,2000
1330,24/11/2023,17:49:00,20,Female,25,Beauty,4,50,48,200
1350,08/11/2023,22:02:00,93,Male,25,Beauty,3,25,29.25,75
1373,02/10/2023,20:26:00,64,Female,25,Beauty,2,300,294,600
1405,28/10/2023,20:08:00,91,Female,25,Clothing,4,300,342,1200
1427,15/07/2023,18:36:00,92,Male,25,Electronics,1,25,11.5,25
1449,26/04/2022,18:42:00,12,Male,25,Electronics,4,50,23.5,200
1539,06/12/2022,21:52:00,96,Male,25,Beauty,1,500,170,500
1555,19/12/2022,18:54:00,55,Male,25,Beauty,1,300,312,300
1560,13/11/2022,17:16:00,91,Female,25,Electronics,1,50,18.5,50
1567,07/04/2023,17:10:00,76,Female,25,Clothing,3,300,162,900
1740,16/07/2022,06:01:00,66,Female,25,Beauty,4,50,27,200
1748,02/03/2023,10:24:00,119,Male,25,Clothing,3,50,15.5,150
1773,12/12/2023,18:50:00,80,Male,25,Electronics,4,500,165,2000
1868,06/12/2022,16:23:00,78,Female,25,Electronics,1,300,138,300
1925,21/12/2023,17:05:00,81,Male,25,Electronics,1,300,366,300
2,24/06/2022,10:07:00,104,Female,26,Clothing,2,500,135,1000
56,27/12/2022,19:37:00,97,Female,26,Clothing,3,300,120,900
159,10/11/2022,21:30:00,42,Male,26,Clothing,4,50,23.5,200
248,02/07/2022,07:11:00,5,Male,26,Clothing,3,300,126,900
307,11/11/2022,22:54:00,32,Female,26,Electronics,2,25,8.5,50
309,12/10/2023,15:39:00,78,Female,26,Beauty,1,25,9,25
321,24/09/2023,19:53:00,30,Female,26,Electronics,2,25,9.5,50
453,14/10/2022,14:45:00,90,Female,26,Clothing,2,500,265,1000
474,08/05/2022,17:57:00,145,Female,26,Clothing,3,500,210,1500
475,12/08/2022,10:39:00,78,Male,26,Clothing,3,25,9,75
610,18/12/2022,06:56:00,137,Female,26,Beauty,2,300,93,600
626,30/10/2022,21:01:00,65,Female,26,Clothing,4,500,555,2000
632,25/10/2023,20:13:00,78,Female,26,Electronics,4,25,24.75,100
707,23/10/2023,20:34:00,117,Female,26,Clothing,1,500,580,500
710,03/09/2022,21:11:00,71,Female,26,Electronics,3,500,495,1500
711,23/09/2023,22:26:00,103,Male,26,Electronics,3,500,575,1500
772,14/04/2023,21:47:00,25,Male,26,Electronics,1,30,16.2,30
850,14/09/2023,19:01:00,58,Female,26,Beauty,2,500,235,1000
884,18/02/2023,20:31:00,1,Female,26,Clothing,2,30,7.5,60
899,22/05/2023,21:34:00,147,Male,26,Clothing,2,300,153,600
909,29/10/2023,19:43:00,71,Male,26,Electronics,1,300,288,300
915,11/10/2023,19:06:00,95,Female,26,Beauty,3,30,12.9,90
1002,02/03/2022,09:24:00,69,Female,26,Clothing,2,500,270,1000
1056,17/04/2022,19:46:00,54,Female,26,Clothing,3,300,114,900
1159,02/04/2023,18:08:00,41,Male,26,Clothing,4,50,18,200
1248,08/09/2022,08:20:00,68,Male,26,Clothing,3,300,111,900
1307,29/01/2022,22:11:00,68,Female,26,Electronics,2,25,11.75,50
1309,30/09/2022,16:50:00,93,Female,26,Beauty,1,25,9.5,25
1321,23/04/2023,22:54:00,155,Female,26,Electronics,2,25,10.5,50
1453,14/10/2023,13:24:00,113,Female,26,Clothing,2,500,205,1000
1474,15/05/2022,20:49:00,84,Female,26,Clothing,3,500,255,1500
1475,04/10/2022,07:03:00,132,Male,26,Clothing,3,25,10.75,75
1610,23/11/2022,10:18:00,1,Female,26,Beauty,2,300,102,600
1626,10/10/2022,19:13:00,19,Female,26,Clothing,4,500,495,2000
1632,19/10/2022,18:16:00,29,Female,26,Electronics,4,25,24.75,100
1707,17/09/2023,18:35:00,144,Female,26,Clothing,1,500,535,500
1710,23/10/2022,20:14:00,104,Female,26,Electronics,3,500,610,1500
1711,22/09/2023,20:33:00,113,Male,26,Electronics,3,500,570,1500
1772,03/02/2022,19:06:00,59,Male,26,Electronics,1,30,13.2,30
1850,16/02/2022,20:44:00,154,Female,26,Beauty,2,500,240,1000
1884,09/07/2023,21:45:00,2,Female,26,Clothing,2,30,11.4,60
1899,03/05/2023,21:03:00,51,Male,26,Clothing,2,300,99,600
1909,22/10/2022,19:41:00,17,Male,26,Electronics,1,300,339,300
